go_p,count,Systematic Name
L-arabinose catabolic process to xylulose 5-phosphate,1,['YLR070C']
L-arginine transmembrane transport,3,"['YBL089W', 'YER119C', 'YIL088C']"
L-ascorbic acid biosynthetic process,1,['YBR053C']
L-asparagine biosynthetic process,2,"['YGR124W', 'YPR145W']"
L-aspartate transport,2,"['YER119C', 'YPR021C']"
L-cysteine catabolic process to pyruvate,1,['YFR055W']
L-cystine transport,1,['YCR075C']
L-glutamate biosynthetic process,1,['YDL171C']
L-glutamate transport,4,"['YBL089W', 'YER119C', 'YIL088C', 'YPR021C']"
L-histidine transmembrane transport,4,"['YBL089W', 'YER119C', 'YGR191W', 'YIL088C']"
L-kynurenine catabolic process,3,"['YHR137W', 'YJL060W', 'YLR231C']"
L-lysine catabolic process to acetyl-CoA via saccharopine,1,['YDR148C']
L-lysine transmembrane transport,3,"['YBL089W', 'YER119C', 'YIL088C']"
L-methionine salvage from S-adenosylmethionine,4,"['YEL038W', 'YJR024C', 'YPL273W', 'YPR118W']"
L-methionine salvage from methylthioadenosine,9,"['YEL038W', 'YGL202W', 'YHR137W', 'YHR208W', 'YJR024C', 'YJR148W', 'YLR017W', 'YMR009W', 'YPR118W']"
L-phenylalanine biosynthetic process,4,"['YGL202W', 'YHR137W', 'YNL316C', 'YPR060C']"
L-phenylalanine catabolic process,5,"['YDR380W', 'YDR421W', 'YGR087C', 'YLR044C', 'YLR134W']"
L-proline biosynthetic process,4,"['YDR300C', 'YER023W', 'YLR438W', 'YOR323C']"
L-serine biosynthetic process,5,"['YER081W', 'YFL018C', 'YGR208W', 'YIL074C', 'YOR184W']"
L-serine catabolic process,3,"['YBR263W', 'YCL064C', 'YLR058C']"
L-serine metabolic process,1,['YKL218C']
L-serine transport,3,"['YBL089W', 'YER119C', 'YIL088C']"
MAPK cascade,8,"['YDL028C', 'YDL159W', 'YGR040W', 'YHL007C', 'YJL128C', 'YOR231W', 'YPL140C', 'YPR054W']"
MAPK cascade involved in cell wall organization or biogenesis,10,"['YDL159W', 'YDR466W', 'YDR490C', 'YHR030C', 'YIL113W', 'YJL095W', 'YLR362W', 'YOL100W', 'YOR231W', 'YPL140C']"
MAPK cascade involved in conjugation with cellular fusion,5,"['YBL016W', 'YDL159W', 'YER075C', 'YLR362W', 'YOR208W']"
MAPK cascade involved in osmosensory signaling pathway,6,"['YCL032W', 'YCR073C', 'YDR168W', 'YJL128C', 'YLR362W', 'YNR031C']"
N-acetylglucosamine metabolic process,1,['YPL067C']
N-acylethanolamine metabolic process,1,['YPL103C']
N-acylphosphatidylethanolamine metabolic process,1,['YPL103C']
N-glycan processing,8,"['YBR205W', 'YBR229C', 'YDR221W', 'YDR483W', 'YER001W', 'YJR061W', 'YJR131W', 'YLR057W']"
N-terminal peptidyl-glutamic acid acetylation,1,['YHR013C']
N-terminal peptidyl-glycine N-myristoylation,1,['YLR195C']
N-terminal peptidyl-glycine methylation,1,['YLR285W']
N-terminal peptidyl-methionine acetylation,6,"['YDL040C', 'YEL053C', 'YGR147C', 'YOL076W', 'YPR051W', 'YPR131C']"
N-terminal peptidyl-proline dimethylation,1,['YBR261C']
N-terminal peptidyl-serine acetylation,2,"['YHR013C', 'YIR042C']"
N-terminal protein amino acid acetylation,6,"['YCR020C-A', 'YDL040C', 'YEL053C', 'YHR013C', 'YOR253W', 'YPR051W']"
N-terminal protein amino acid methylation,1,['YBR261C']
N-terminal protein amino acid modification,1,['YJR062C']
N-terminal protein amino acid propionylation,1,['YHR013C']
N-terminal protein myristoylation,1,['YLR195C']
NAD biosynthesis via nicotinamide riboside salvage pathway,4,"['YCL047C', 'YDR400W', 'YLR209C', 'YNL129W']"
NAD biosynthetic process,12,"['YBL098W', 'YCL047C', 'YDR428C', 'YFR047C', 'YGR010W', 'YHR074W', 'YJR025C', 'YJR078W', 'YLR231C', 'YLR328W', 'YNL129W', 'YOR209C']"
NAD catabolic process,1,['YGL067W']
NAD metabolic process,4,"['YBL098W', 'YEL041W', 'YJR049C', 'YPL188W']"
NAD salvage,1,['YOR209C']
NAD transmembrane transport,2,"['YEL006W', 'YIL006W']"
NAD-cap decapping,2,"['YDR370C', 'YGL246C']"
NADH metabolic process,1,['YGL067W']
NADH oxidation,10,"['YBR145W', 'YDL022W', 'YDL085W', 'YIL155C', 'YML120C', 'YMR083W', 'YMR145C', 'YMR303C', 'YOL059W', 'YOL086C']"
NADH regeneration,1,['YDL078C']
NADP biosynthetic process,3,"['YEL041W', 'YJR049C', 'YPL188W']"
NADP catabolic process,1,['YGL067W']
NADP metabolic process,3,"['YDL066W', 'YLR174W', 'YNL009W']"
NADPH regeneration,4,"['YMR315W', 'YNL241C', 'YOR374W', 'YPL061W']"
NLS-bearing protein import into nucleus,17,"['YAR002W', 'YDL088C', 'YDR192C', 'YER110C', 'YGL092W', 'YGL172W', 'YGL241W', 'YGR119C', 'YIL115C', 'YJL041W', 'YKL068W', 'YKR048C', 'YLR335W', 'YLR347C', 'YMR153W', 'YNL189W', 'YOR098C']"
Okazaki fragment processing involved in mitotic DNA replication,1,['YDL164C']
RITS complex assembly,1,['YGL066W']
RNA (guanine-N7)-methylation,2,"['YDL201W', 'YDR165W']"
RNA 3'-end processing,4,"['YKR002W', 'YMR061W', 'YNL299W', 'YOL115W']"
RNA 5'-cap (guanine-N7)-methylation,1,['YBR236C']
RNA Polymerase I assembly,1,['YFL023W']
RNA Polymerase II core complex assembly,1,['YFL023W']
RNA Polymerase III assembly,2,"['YDL189W', 'YFL023W']"
RNA catabolic process,11,"['YCR035C', 'YDR279W', 'YJL050W', 'YJL208C', 'YKL149C', 'YLR154C', 'YLR398C', 'YMR234W', 'YPL029W', 'YPL123C', 'YPR189W']"
RNA exon ligation,1,['YKR086W']
RNA export from nucleus,10,"['YBL079W', 'YDR002W', 'YDR335W', 'YER105C', 'YER107C', 'YJL041W', 'YKL068W', 'YML103C', 'YMR047C', 'YOR098C']"
RNA folding,2,"['YDR194C', 'YNL286W']"
RNA import into nucleus,2,"['YMR235C', 'YOR160W']"
RNA localization,1,['YOR160W']
RNA metabolic process,8,"['YCR020C-A', 'YGL064C', 'YHR087W', 'YHR121W', 'YJL124C', 'YJR022W', 'YMR125W', 'YNL072W']"
RNA methylation,9,"['YBL024W', 'YBR061C', 'YCL054W', 'YGL136C', 'YKR056W', 'YNL022C', 'YNL061W', 'YOR201C', 'YPL157W']"
RNA modification,10,"['YDL036C', 'YFL001W', 'YGL063W', 'YGR169C', 'YLR165C', 'YLR175W', 'YNL292W', 'YOL066C', 'YOR243C', 'YPL212C']"
RNA phosphodiester bond hydrolysis,17,"['YAL033W', 'YAR008W', 'YBR167C', 'YBR257W', 'YDR293C', 'YGR030C', 'YHR079C', 'YIR015W', 'YJL208C', 'YLR312W-A', 'YML091C', 'YMR024W', 'YMR059W', 'YMR239C', 'YMR287C', 'YNL282W', 'YPL083C']"
"RNA phosphodiester bond hydrolysis, endonucleolytic",33,"['YAL033W', 'YAR008W', 'YBL018C', 'YBR167C', 'YBR257W', 'YDR279W', 'YGR030C', 'YHR062C', 'YHR079C', 'YIR015W', 'YJL208C', 'YKL149C', 'YLR105C', 'YLR154C', 'YLR277C', 'YLR312W-A', 'YML091C', 'YMR024W', 'YMR059W', 'YMR234W', 'YMR239C', 'YMR285C', 'YNL001W', 'YNL072W', 'YNL221C', 'YNL282W', 'YOL021C', 'YOR056C', 'YOR163W', 'YOR166C', 'YPL083C', 'YPL123C', 'YPR170W-B']"
"RNA phosphodiester bond hydrolysis, exonucleolytic",12,"['YAL021C', 'YDR293C', 'YGL094C', 'YGL173C', 'YLR132C', 'YML118W', 'YMR285C', 'YMR287C', 'YNR052C', 'YOL042W', 'YOR048C', 'YPL029W']"
RNA polyadenylation,3,"['YER032W', 'YER161C', 'YKR002W']"
RNA polymerase I transcriptional preinitiation complex assembly,5,"['YBL014C', 'YER148W', 'YJL025W', 'YML043C', 'YNL248C']"
RNA polymerase II transcriptional preinitiation complex assembly,38,"['YBL093C', 'YBR198C', 'YCR042C', 'YDL005C', 'YDR145W', 'YDR167W', 'YDR397C', 'YER022W', 'YER148W', 'YER159C', 'YGL025C', 'YGL043W', 'YGL112C', 'YGR005C', 'YGR104C', 'YGR186W', 'YGR274C', 'YHR041C', 'YHR058C', 'YIR023W', 'YKL058W', 'YML015C', 'YML098W', 'YML114C', 'YMR005W', 'YMR112C', 'YMR172W', 'YMR227C', 'YMR236W', 'YNL236W', 'YNR010W', 'YOL051W', 'YOR194C', 'YPL011C', 'YPL129W', 'YPR052C', 'YPR086W', 'YPR168W']"
RNA polymerase III transcriptional preinitiation complex assembly,6,"['YBR089C-A', 'YER148W', 'YGR246C', 'YMR039C', 'YNL039W', 'YPR052C']"
RNA processing,38,"['YBR055C', 'YBR167C', 'YBR257W', 'YCR035C', 'YDL051W', 'YDL112W', 'YDR235W', 'YDR280W', 'YDR416W', 'YDR449C', 'YDR478W', 'YER112W', 'YER168C', 'YGL243W', 'YGR074W', 'YIR015W', 'YJL203W', 'YKR056W', 'YLL035W', 'YLR051C', 'YLR117C', 'YLR147C', 'YLR175W', 'YLR312W-A', 'YLR430W', 'YML046W', 'YML091C', 'YMR024W', 'YMR061W', 'YMR229C', 'YMR239C', 'YNL061W', 'YNL232W', 'YNL292W', 'YOL010W', 'YOR001W', 'YOR201C', 'YOR250C']"
RNA splicing,109,"['Q0060', 'Q0065', 'Q0070', 'Q0110', 'Q0115', 'Q0120', 'Q0160', 'YAL032C', 'YBL026W', 'YBL074C', 'YBR055C', 'YBR065C', 'YBR119W', 'YBR152W', 'YBR188C', 'YBR237W', 'YCR063W', 'YDL030W', 'YDL043C', 'YDL084W', 'YDL087C', 'YDL098C', 'YDL209C', 'YDR088C', 'YDR163W', 'YDR194C', 'YDR235W', 'YDR240C', 'YDR243C', 'YDR364C', 'YDR378C', 'YDR416W', 'YDR473C', 'YDR482C', 'YEL026W', 'YER013W', 'YER029C', 'YER112W', 'YER146W', 'YER172C', 'YFL017W-A', 'YFR005C', 'YGL120C', 'YGL128C', 'YGL174W', 'YGR006W', 'YGR013W', 'YGR074W', 'YGR075C', 'YGR091W', 'YGR129W', 'YGR150C', 'YGR278W', 'YHL038C', 'YHR034C', 'YHR165C', 'YIL061C', 'YIR005W', 'YIR009W', 'YJL203W', 'YJR022W', 'YJR050W', 'YKL012W', 'YKL074C', 'YKL095W', 'YKL173W', 'YKR022C', 'YKR086W', 'YLL036C', 'YLR016C', 'YLR116W', 'YLR117C', 'YLR147C', 'YLR203C', 'YLR275W', 'YLR277C', 'YLR323C', 'YLR424W', 'YLR438C-A', 'YML046W', 'YML049C', 'YMR125W', 'YMR213W', 'YMR223W', 'YMR268C', 'YMR288W', 'YNL138W-A', 'YNL147W', 'YNL187W', 'YNL224C', 'YNL245C', 'YNL286W', 'YNR011C', 'YOR148C', 'YOR159C', 'YOR243C', 'YOR308C', 'YPL064C', 'YPL151C', 'YPL178W', 'YPL213W', 'YPR057W', 'YPR082C', 'YPR094W', 'YPR101W', 'YPR134W', 'YPR152C', 'YPR178W', 'YPR182W']"
RNA surveillance,2,"['YCL001W-B', 'YNL001W']"
RNA-dependent DNA biosynthetic process,6,"['Q0050', 'Q0055', 'YDL102W', 'YJR006W', 'YJR043C', 'YNL102W']"
Ras protein signal transduction,12,"['YDR099W', 'YER177W', 'YIL119C', 'YJL005W', 'YJL164C', 'YKL166C', 'YLR310C', 'YNL098C', 'YNL138W', 'YOR101W', 'YPL096C-A', 'YPL203W']"
Rho protein signal transduction,8,"['YDL135C', 'YJL085W', 'YLR229C', 'YNL180C', 'YNL283C', 'YOL105C', 'YOR008C', 'YPL161C']"
S-adenosyl-L-methionine transmembrane transport,2,"['YNL003C', 'YPL274W']"
S-adenosyl-L-methionine transport,2,"['YNL003C', 'YPL274W']"
S-adenosylhomocysteine catabolic process,1,['YER043C']
S-adenosylhomocysteine metabolic process,1,['YPL273W']
S-adenosylmethioninamine biosynthetic process,1,['YOL052C']
S-adenosylmethionine biosynthetic process,3,"['YDR502C', 'YHR032W', 'YLR180W']"
S-adenosylmethionine cycle,1,['YER043C']
S-methylmethionine cycle,1,['YMR321C']
S-methylmethionine transport,1,['YLL061W']
SAGA complex localization to transcription regulatory region,2,"['YCL010C', 'YDR363W-A']"
SCF complex disassembly in response to cadmium stress,1,['YDL126C']
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,20,"['YBR158W', 'YBR280C', 'YDL132W', 'YDR054C', 'YDR131C', 'YDR219C', 'YDR306C', 'YDR328C', 'YFL009W', 'YIL046W', 'YJL149W', 'YJR052W', 'YJR090C', 'YLR097C', 'YLR224W', 'YLR352W', 'YLR368W', 'YML088W', 'YOL133W', 'YOR080W']"
SNARE complex assembly,3,"['YDL058W', 'YFL038C', 'YLR360W']"
SNARE complex disassembly,3,"['YBL050W', 'YBR080C', 'YFL038C']"
SRP-dependent cotranslational protein targeting to membrane,11,"['YBR283C', 'YDL092W', 'YDR292C', 'YER019C-A', 'YKL122C', 'YKL154W', 'YML105C', 'YOR254C', 'YPL210C', 'YPL243W', 'YPR088C']"
"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition",1,['YML105C']
"SRP-dependent cotranslational protein targeting to membrane, translocation",13,"['YAL005C', 'YBL075C', 'YBR283C', 'YDL092W', 'YDR086C', 'YER019C-A', 'YER087C-B', 'YER103W', 'YJL034W', 'YLL024C', 'YLR378C', 'YOL031C', 'YPR088C']"
TOR signaling,18,"['YBR028C', 'YDR200C', 'YER093C', 'YGL197W', 'YHR082C', 'YHR186C', 'YIL105C', 'YJR066W', 'YKL203C', 'YKR028W', 'YKR087C', 'YLR150W', 'YMR068W', 'YNL006W', 'YNL047C', 'YOL078W', 'YPL180W', 'YPR040W']"
TORC1 signaling,4,"['YCR075W-A', 'YHL023C', 'YJR066W', 'YKL203C']"
TORC2 signaling,6,"['YBR270C', 'YER093C', 'YIL105C', 'YJL058C', 'YNL047C', 'YOL078W']"
U1 snRNA 3'-end processing,6,"['YCR035C', 'YDL111C', 'YDR280W', 'YGR195W', 'YMR239C', 'YOR001W']"
U2-type prespliceosome assembly,1,['YNL286W']
U4 snRNA 3'-end processing,15,"['YCR035C', 'YDL111C', 'YDR280W', 'YGR095C', 'YGR158C', 'YGR195W', 'YHR069C', 'YHR081W', 'YJL050W', 'YLR059C', 'YMR239C', 'YNL299W', 'YOL115W', 'YOL142W', 'YOR001W']"
U5 snRNA 3'-end processing,11,"['YCR035C', 'YDL111C', 'YDR280W', 'YGR195W', 'YGR276C', 'YHR081W', 'YJL050W', 'YLR059C', 'YLR107W', 'YMR239C', 'YOR001W']"
U6 snRNA 3'-end processing,1,['YLR132C']
UDP biosynthetic process,1,['YKL024C']
UDP catabolic process,1,['YER005W']
UDP-N-acetylglucosamine biosynthetic process,5,"['YDL103C', 'YEL058W', 'YFL017C', 'YKL104C', 'YMR084W']"
UDP-N-acetylglucosamine metabolic process,3,"['YKL104C', 'YMR084W', 'YMR085W']"
UDP-N-acetylglucosamine transmembrane transport,1,['YEL004W']
UDP-galactose transmembrane transport,1,['YPL244C']
UDP-glucose metabolic process,4,"['YHL012W', 'YKL035W', 'YKL127W', 'YMR105C']"
UDP-glucose transport,3,"['YEL004W', 'YML038C', 'YPL244C']"
UDP-glucosylation,1,['YOR336W']
UMP biosynthetic process,2,"['YEL021W', 'YKL216W']"
UMP salvage,4,"['YDR020C', 'YHR128W', 'YNR012W', 'YPR062W']"
UTP biosynthetic process,3,"['YJL130C', 'YJR109C', 'YKL067W']"
UV-damage excision repair,3,"['YLR357W', 'YML095C', 'YMR201C']"
XMP salvage,2,"['YDR399W', 'YJR133W']"
[2Fe-2S] cluster assembly,2,"['YCL017C', 'YGL018C']"
[4Fe-4S] cluster assembly,1,['YAL044W-A']
acetate biosynthetic process,4,"['YER073W', 'YML081W', 'YOR374W', 'YPL061W']"
acetate ester metabolic process involved in fermentation,2,"['YGR177C', 'YOR377W']"
acetate fermentation,1,['YAL054C']
acetate metabolic process,2,"['YBL015W', 'YOR126C']"
acetate transmembrane transport,3,"['YCR010C', 'YDR384C', 'YNR002C']"
acetate transport,2,"['YCR010C', 'YLL043W']"
acetyl-CoA biosynthetic process,2,"['YAL054C', 'YLR153C']"
acetyl-CoA biosynthetic process from acetate,2,"['YAL054C', 'YLR153C']"
acetyl-CoA biosynthetic process from pyruvate,4,"['YBR221C', 'YER178W', 'YGR193C', 'YNL071W']"
acetyl-CoA catabolic process,1,['YNR001C']
acetyl-CoA metabolic process,1,['YML126C']
acetyl-CoA transport,2,"['YBR219C', 'YBR220C']"
actin cortical patch assembly,15,"['YBL007C', 'YBR059C', 'YBR108W', 'YCR030C', 'YCR088W', 'YDL146W', 'YDL161W', 'YDL176W', 'YIL095W', 'YIR006C', 'YLL038C', 'YLR206W', 'YNL020C', 'YNL084C', 'YNL243W']"
actin cortical patch localization,17,"['YBL060W', 'YCL034W', 'YCR009C', 'YCR094W', 'YDL146W', 'YDR388W', 'YFR024C-A', 'YHR016C', 'YJL020C', 'YKL129C', 'YLR337C', 'YLR429W', 'YMR109W', 'YOR094W', 'YOR129C', 'YOR181W', 'YPR171W']"
actin cortical patch organization,12,"['YBL007C', 'YBL047C', 'YBR234C', 'YDL029W', 'YGR080W', 'YIL062C', 'YIR006C', 'YJR065C', 'YKL013C', 'YLR370C', 'YNL084C', 'YNR035C']"
actin cytoskeleton organization,28,"['YCL034W', 'YCR009C', 'YDL240W', 'YDR085C', 'YDR098C', 'YEL022W', 'YER155C', 'YER158C', 'YER174C', 'YGR245C', 'YHR016C', 'YIL034C', 'YIL105C', 'YIL159W', 'YJL020C', 'YJR031C', 'YJR125C', 'YKL007W', 'YKL051W', 'YKR001C', 'YLR144C', 'YNL047C', 'YNL233W', 'YNL271C', 'YNR035C', 'YOR008C', 'YOR035C', 'YPR165W']"
actin cytoskeleton reorganization,3,"['YBR260C', 'YCR009C', 'YPR165W']"
actin filament bundle assembly,17,"['YBR118W', 'YDR129C', 'YFR024C-A', 'YHR016C', 'YIL105C', 'YIL138C', 'YIL159W', 'YJL020C', 'YKR001C', 'YLR319C', 'YMR032W', 'YNL047C', 'YNL079C', 'YNL271C', 'YOR094W', 'YOR304C-A', 'YPR080W']"
actin filament capping,2,"['YIL034C', 'YKL007W']"
actin filament debranching,1,['YDR063W']
actin filament depolymerization,4,"['YGR080W', 'YLL050C', 'YMR092C', 'YNL138W']"
actin filament network formation,1,['YDR129C']
actin filament organization,40,"['YAL029C', 'YBL085W', 'YBR059C', 'YCL034W', 'YCR009C', 'YDL134C', 'YDL135C', 'YDL161W', 'YDL188C', 'YDR129C', 'YDR153C', 'YER114C', 'YGR080W', 'YHR114W', 'YIL095W', 'YIL118W', 'YIL138C', 'YJL128C', 'YJR065C', 'YKL129C', 'YKR055W', 'YLL007C', 'YLL038C', 'YLL050C', 'YLR206W', 'YLR429W', 'YMR109W', 'YNL020C', 'YNL032W', 'YNL079C', 'YNL084C', 'YNL090W', 'YNL138W', 'YNL243W', 'YOR043W', 'YOR127W', 'YOR181W', 'YOR326W', 'YOR367W', 'YPR165W']"
actin filament polymerization,3,"['YKL013C', 'YNR035C', 'YOR181W']"
actin filament reorganization,1,['YNL079C']
actin filament reorganization involved in cell cycle,1,['YDL226C']
actin filament severing,3,"['YGR080W', 'YLL050C', 'YNL138W']"
actin filament-based process,2,"['YDR159W', 'YDR484W']"
actin nucleation,4,"['YHR114W', 'YIL159W', 'YNL271C', 'YOR181W']"
actin polymerization or depolymerization,1,['YIL138C']
activation of GTPase activity,14,"['YDL234C', 'YDR389W', 'YGR070W', 'YGR100W', 'YJL044C', 'YLR371W', 'YMR055C', 'YMR235C', 'YNL293W', 'YOL112W', 'YOR070C', 'YOR134W', 'YOR370C', 'YPL249C']"
activation of adenylate cyclase activity,1,['YNL098C']
activation of mitotic cell cycle spindle assembly checkpoint,1,['YGL086W']
activation of protein kinase activity,14,"['YBR135W', 'YDL081C', 'YDL130W', 'YDR382W', 'YFL034C-B', 'YIL106W', 'YJL090C', 'YLR006C', 'YLR423C', 'YNL006W', 'YOL039W', 'YOR047C', 'YPL194W', 'YPR185W']"
actomyosin contractile ring assembly,3,"['YDL225W', 'YDR218C', 'YJR076C']"
acyl carnitine transmembrane transport,1,['YOR100C']
acyl-CoA metabolic process,1,['YJR019C']
acylglycerol catabolic process,1,['YBR204C']
adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion,15,"['YDL216C', 'YDR179C', 'YFR022W', 'YHR005C', 'YIL015W', 'YJR084W', 'YKL190W', 'YLR433C', 'YLR452C', 'YML057W', 'YMR025W', 'YNL053W', 'YOL117W', 'YOR018W', 'YOR208W']"
adenine biosynthetic process,2,"['YDR408C', 'YGL234W']"
adenine catabolic process,1,['YNL141W']
adenine salvage,2,"['YDR441C', 'YML022W']"
adenosine 5'-(hexahydrogen pentaphosphate) catabolic process,1,['YOR163W']
adenylate cyclase-activating G-protein coupled receptor signaling pathway,4,"['YER020W', 'YGL248W', 'YOR101W', 'YOR360C']"
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,2,"['YBR140C', 'YOL081W']"
adenylate cyclase-modulating G-protein coupled receptor signaling pathway,4,"['YER020W', 'YJL005W', 'YOR107W', 'YOR353C']"
aerobic electron transport chain,2,"['Q0275', 'YNR074C']"
aerobic respiration,49,"['Q0045', 'Q0055', 'Q0060', 'Q0065', 'Q0070', 'Q0105', 'Q0250', 'Q0275', 'YBL030C', 'YBL033C', 'YBL045C', 'YBR010W', 'YBR026C', 'YBR238C', 'YBR243C', 'YDR031W', 'YDR487C', 'YDR529C', 'YEL024W', 'YFR033C', 'YGL018C', 'YGL107C', 'YGL191W', 'YGR183C', 'YHR001W-A', 'YIL070C', 'YJL166W', 'YJL209W', 'YKL055C', 'YKL085W', 'YKL093W', 'YKR046C', 'YLL013C', 'YLL041C', 'YLR139C', 'YML110C', 'YMR002W', 'YMR030W', 'YMR056C', 'YMR081C', 'YMR165C', 'YMR267W', 'YNL031C', 'YOR002W', 'YOR355W', 'YPL132W', 'YPL159C', 'YPR155C', 'YPR191W']"
age-dependent response to reactive oxygen species,1,['YDR256C']
agglutination involved in conjugation with cellular fusion,4,"['YGL032C', 'YJR004C', 'YLR110C', 'YNR044W']"
aggrephagy,1,['YOR290C']
aggresome assembly,1,['YER177W']
aging,1,['YMR307W']
alanine biosynthetic process,1,['YLR089C']
alanine catabolic process,1,['YLR089C']
alanyl-tRNA aminoacylation,1,['YOR335C']
alcohol metabolic process,4,"['YAL060W', 'YCR105W', 'YER024W', 'YMR318C']"
aldehyde catabolic process,1,['YMR110C']
alditol phosphate metabolic process,1,['YNL010W']
alkanesulfonate catabolic process,1,['YLL057C']
allantoate transport,2,"['YAL067C', 'YJR152W']"
allantoin assimilation pathway,1,['YIR027C']
allantoin catabolic process,7,"['YBR208C', 'YIR027C', 'YIR028W', 'YIR029W', 'YIR031C', 'YIR032C', 'YNL314W']"
allantoin transport,1,['YIR028W']
alpha-amino acid metabolic process,2,"['YGL202W', 'YHR137W']"
alpha-glucoside transport,1,['YBR298C']
alpha-ketoglutarate transport,1,['YMR241W']
amide transport,1,['YLR378C']
amine transport,1,['YBR180W']
amino acid catabolic process to alcohol via Ehrlich pathway,6,"['YBR145W', 'YDL168W', 'YGL256W', 'YMR083W', 'YMR303C', 'YOL086C']"
amino acid catabolic process via Ehrlich pathway,5,"['YDL080C', 'YDR380W', 'YGR087C', 'YLR044C', 'YLR134W']"
amino acid export,1,['YNL065W']
amino acid homeostasis,1,['YMR037C']
amino acid transmembrane export from vacuole,4,"['YCL038C', 'YER119C', 'YKL146W', 'YNL101W']"
amino acid transmembrane transport,25,"['YBL089W', 'YBR068C', 'YBR069C', 'YBR132C', 'YCL025C', 'YDR046C', 'YDR160W', 'YDR508C', 'YEL063C', 'YEL064C', 'YER119C', 'YFL055W', 'YGR191W', 'YIL088C', 'YJR001W', 'YKL146W', 'YKR039W', 'YLL061W', 'YNL101W', 'YNL268W', 'YNL270C', 'YOL020W', 'YOR348C', 'YPL265W', 'YPL274W']"
amino acid transport,47,"['YBL089W', 'YBR068C', 'YBR069C', 'YBR132C', 'YBR147W', 'YBR293W', 'YCL025C', 'YCL038C', 'YCL069W', 'YDL210W', 'YDL212W', 'YDR046C', 'YDR119W', 'YDR160W', 'YDR352W', 'YDR508C', 'YEL063C', 'YEL064C', 'YER119C', 'YFL010W-A', 'YFL055W', 'YGL077C', 'YGR055W', 'YGR142W', 'YGR191W', 'YHL036W', 'YIL088C', 'YJL059W', 'YJR001W', 'YKL146W', 'YKL174C', 'YKL176C', 'YKR039W', 'YKR105C', 'YLL055W', 'YLL061W', 'YMR088C', 'YNL101W', 'YNL268W', 'YNL270C', 'YOL020W', 'YOL092W', 'YOR271C', 'YOR348C', 'YPL265W', 'YPL274W', 'YPR021C']"
aminoacyl-tRNA metabolism involved in translational fidelity,10,"['YBL076C', 'YDL219W', 'YFL022C', 'YGR094W', 'YHR020W', 'YLR382C', 'YNL040W', 'YOR335C', 'YPL040C', 'YPL160W']"
aminophospholipid translocation,5,"['YAL026C', 'YCR094W', 'YDR093W', 'YMR162C', 'YNL323W']"
aminophospholipid transport,2,"['YLL006W', 'YOL009C']"
ammonia assimilation cycle,1,['YDL171C']
ammonium transmembrane transport,7,"['YCR010C', 'YDR384C', 'YGR121C', 'YNL142W', 'YNR002C', 'YOR378W', 'YPR138C']"
ammonium transport,7,"['YCR010C', 'YDR384C', 'YGR121C', 'YNL142W', 'YNR002C', 'YOR378W', 'YPR138C']"
anaerobic glycerol catabolic process,2,"['YFL053W', 'YML070W']"
anaerobic respiration,2,"['YBL030C', 'YBR085W']"
anaphase-promoting complex assembly,1,['YDR260C']
anaphase-promoting complex-dependent catabolic process,16,"['YBL084C', 'YDL008W', 'YDR118W', 'YDR161W', 'YFR036W', 'YGL003C', 'YGL116W', 'YGL240W', 'YGR225W', 'YHR166C', 'YIR025W', 'YKL022C', 'YLR127C', 'YNL172W', 'YOR249C', 'YOR339C']"
anion transmembrane transport,13,"['YBR294W', 'YCR037C', 'YDL128W', 'YDR456W', 'YIL114C', 'YJL094C', 'YJL198W', 'YLR092W', 'YNL055C', 'YNL275W', 'YNL321W', 'YNR013C', 'YPR003C']"
anion transport,1,['YNL275W']
anthranilate metabolic process,3,"['YBL098W', 'YJR025C', 'YLR231C']"
antimonite transport,1,['YPR201W']
antisense RNA transcript catabolic process,3,"['YJR119C', 'YNL251C', 'YPL190C']"
apoptotic DNA fragmentation,2,"['YBL055C', 'YJL208C']"
apoptotic mitochondrial changes,2,"['YBR044C', 'YLR259C']"
apoptotic process,27,"['YBL030C', 'YDL003W', 'YDL013W', 'YDR326C', 'YFL010C', 'YGL160W', 'YGL203C', 'YGR098C', 'YGR192C', 'YHR049W', 'YHR179W', 'YIL065C', 'YJL208C', 'YJR009C', 'YJR089W', 'YLR011W', 'YML078W', 'YMR074C', 'YNL055C', 'YNL123W', 'YNL180C', 'YNL305C', 'YNR074C', 'YOR197W', 'YOR297C', 'YPL123C', 'YPL171C']"
arabinose catabolic process,4,"['YDR368W', 'YHR104W', 'YJR096W', 'YOR120W']"
arginine biosynthetic process,10,"['YER069W', 'YHR018C', 'YJL071W', 'YJL088W', 'YJR109C', 'YMR062C', 'YOL058W', 'YOL140W', 'YOR130C', 'YOR303W']"
arginine biosynthetic process via ornithine,2,"['YHR018C', 'YJL088W']"
arginine catabolic process,1,['YLR438W']
arginine catabolic process to glutamate,1,['YLR438W']
arginine catabolic process to ornithine,1,['YPL111W']
arginine catabolic process to proline via ornithine,1,['YLR438W']
arginine metabolic process,6,"['YDR173C', 'YML099C', 'YMR042W', 'YMR043W', 'YOL140W', 'YPL111W']"
arginine transmembrane transport,1,['YEL063C']
